Event,Date
SEMESTR ZIMOWY ,01.10.2019 – 22.02.2020
zajęcia dydaktyczne ,02.10.2019 – 27.01.2020
I tura zapisów na zajęcia w semestrze letnim roku akademickiego 2019/2020,01.12.2019 – 30.12.2019 
 Okres dokonywania podpięć przedmiotów realizowanych w semestrze letnim roku akademickiego 2019/2020 ,01.12.2019 – 30.12.2019 
termin rezygnacji z zaliczenia przedmiotu w semestrze zimowym,17.01.2020
wakacje zimowe ,23.12.2019 – 06.01.2020 
egzaminacyjna sesja zimowa ,28.01.2020 – 08.02.2020 
egzaminy z języków obcych ,28.01.2020
przerwa międzysemestralna ,10.02.2020 – 16.02.2020 
egzaminacyjna sesja poprawkowa semestru zimowego,17.02.2020 – 22.02.2020
SEMESTR LETNI ,24.02.2020 – 30.09.2020
zajęcia dydaktyczne ,24.02.2020 – 10.06.2020 
wakacje wiosenne ,09.04.2020 – 14.04.2020 
dni wolne od zajęć dydaktycznych (Juwenalia) ,08.05.2020 - 09.05.2020 
termin rezygnacji z zaliczenia przedmiotu w semestrze letnim ,01.06.2020
Okres dokonywania podpięć przedmiotów realizowanych w semestrze zimowym i całym roku akademickim 2020/2021 ,01.06.2020 – 30.06.2020 
"I tura zapisów na zajęcia całoroczne i w semestrze zimowym roku akademickiego 2020/2021, ",01.06.2020 – 30.06.2020 
egzaminacyjna sesja letnia ,15.06.2020 – 27.06.2020
egzaminy z języków obcych ,15.06.2020
wakacje letnie (w tym minimum 4 tygodnie nieprzerwanych wakacji letnich oraz praktyki programowe) ,29.06.2020 – 30.08.2020 
egzaminacyjna sesja poprawkowa semestru letniego,31.08.2020 – 12.09.2020
"okres, w którym należy podjąć wszystkie indywidualne decyzje dotyczące zaliczenia roku akademickiego 2019/2020",14.09.2020 – 30.09.2020
